Country,Code,Capital,Continent,Growth Rate,World Population Percentage,Gdp per capita,Population,Year,>22000
Peru,PER,Lima,South America,1.0099,0.43,5082.353706,29229572,2010,no
Peru,PER,Lima,South America,1.0099,0.43,6126.87454,33304756,2020,no
Philippines,PHL,Manila,Asia,1.0147,1.45,211.1290884,37435586,1970,no
Philippines,PHL,Manila,Asia,1.0147,1.45,778.0827803,48419546,1980,no
Philippines,PHL,Manila,Asia,1.0147,1.45,816.0295457,61558898,1990,no
Philippines,PHL,Manila,Asia,1.0147,1.45,1072.801752,77958223,2000,no
Philippines,PHL,Manila,Asia,1.0147,1.45,2217.472153,94636700,2010,no
Philippines,PHL,Manila,Asia,1.0147,1.45,3298.829586,112190977,2020,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,231.9462843,2489059,1970,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,712.9190725,3104788,1980,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,697.5389685,3864972,1990,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,602.1864903,5508297,2000,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,1949.351185,7583269,2010,no
Papua New Guinea,PNG,Port Moresby,Oceania,1.0194,0.13,2757.21753,9749640,2020,no
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,1852.354673,2737619,1970,yes
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,4502.838428,3214568,1980,yes
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,8652.507492,3543776,1990,yes
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,16192.12697,3827108,2000,yes
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,26435.74879,3717922,2010,yes
Puerto Rico,PRI,San Juan,North America,0.9989,0.04,32290.92114,3271564,2020,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,934.0821561,8683631,1970,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,3368.366669,9785252,1980,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,7884.617988,10007346,1990,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,11497.75346,10300626,2000,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,22498.69086,10588401,2010,yes
Portugal,PRT,Lisbon,Europe,0.9981,0.13,22176.29671,10298192,2020,yes
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,240.2705038,2408787,1970,no
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,1398.054298,3078912,1980,no
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,1376.165325,4059195,1990,no
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,1663.604939,5123819,2000,no
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,4359.428415,5768613,2010,no
Paraguay,PRY,Asunci??n,South America,1.0115,0.09,5001.07276,6618695,2020,no
Qatar,QAT,Doha,Asia,1.0026,0.03,2755.556485,118007,1970,yes
Qatar,QAT,Doha,Asia,1.0026,0.03,35010.39528,277450,1980,yes
Qatar,QAT,Doha,Asia,1.0026,0.03,15454.17967,441675,1990,yes
Qatar,QAT,Doha,Asia,1.0026,0.03,29976.16763,645937,2000,yes
Qatar,QAT,Doha,Asia,1.0026,0.03,67403.08768,1713504,2010,yes
Qatar,QAT,Doha,Asia,1.0026,0.03,50124.38594,2760385,2020,yes
Rwanda,RWA,Kigali,Africa,1.0234,0.17,58.52527645,3896367,1970,no
Rwanda,RWA,Kigali,Africa,1.0234,0.17,243.4870745,5247532,1980,no
Rwanda,RWA,Kigali,Africa,1.0234,0.17,349.8733096,7319962,1990,no
Rwanda,RWA,Kigali,Africa,1.0234,0.17,260.6011858,8109989,2000,no
Rwanda,RWA,Kigali,Africa,1.0234,0.17,609.724917,10309031,2010,no
Rwanda,RWA,Kigali,Africa,1.0234,0.17,797.8555207,13146362,2020,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,921.3350532,6106191,1970,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,16977.98593,10171710,1980,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,7246.01592,16004763,1990,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,9171.331476,21547390,2000,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,19262.5476,29411929,2010,no
Saudi Arabia,SAU,Riyadh,Asia,1.0128,0.46,20110.31619,35997107,2020,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,176.9540281,11305206,1970,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,392.4148478,16673586,1980,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,483.9526109,21090886,1990,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,366.172742,26298773,2000,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,1338.443724,33739933,2010,no
Sudan,SDN,Khartoum,Africa,1.0267,0.59,486.4188163,44440486,2020,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,304.7340906,4367744,1970,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,807.8059295,5703869,1980,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,982.0178763,7536001,1990,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,613.7323845,9704287,2000,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,1271.583281,12530121,2010,no
Senegal,SEN,Dakar,Africa,1.0261,0.22,1471.830962,16436119,2020,no
Singapore,SGP,Singapore,Asia,1.0058,0.07,925.8039129,2061831,1970,yes
Singapore,SGP,Singapore,Asia,1.0058,0.07,4928.139118,2400729,1980,yes
Singapore,SGP,Singapore,Asia,1.0058,0.07,11861.75616,3022209,1990,yes
Singapore,SGP,Singapore,Asia,1.0058,0.07,23852.32703,4053602,2000,yes
Singapore,SGP,Singapore,Asia,1.0058,0.07,47236.96023,5163590,2010,yes
Singapore,SGP,Singapore,Asia,1.0058,0.07,59797.75218,5909869,2020,yes
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,158.2614873,2778557,1970,no
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,324.8303951,3367477,1980,no
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,150.3889975,4325388,1990,no
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,138.6987225,4584067,2000,no
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,401.8348761,6436698,2010,no
Sierra Leone,SLE,Freetown,Africa,1.022,0.11,509.376594,8233969,2020,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,308.4398701,3619090,1970,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,778.448009,4508992,1980,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,914.1317947,5367179,1990,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,2001.540049,5958482,2000,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,2983.228806,6114034,2010,no
El Salvador,SLV,San Salvador,North America,1.0035,0.08,3798.636521,6292731,2020,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,747.1611139,379918,1970,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,2211.214054,375112,1980,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,958.6123321,412756,1990,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,2012.281651,478998,2000,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,8255.874872,546080,2010,no
Suriname,SUR,Paramaribo,South America,1.0082,0.01,4916.605666,607065,2020,no
Sweden,SWE,Stockholm,Europe,1.0079,0.13,4736.217154,8027702,1970,yes
Sweden,SWE,Stockholm,Europe,1.0079,0.13,17097.83265,8311763,1980,yes
Sweden,SWE,Stockholm,Europe,1.0079,0.13,30593.67244,8548406,1990,yes
Sweden,SWE,Stockholm,Europe,1.0079,0.13,29624.91267,8871043,2000,yes
Sweden,SWE,Stockholm,Europe,1.0079,0.13,52869.04429,9381729,2010,yes
Sweden,SWE,Stockholm,Europe,1.0079,0.13,52274.40879,10368969,2020,yes
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,260.0289791,442865,1970,no
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,922.0016494,598564,1980,no
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,1355.389001,854011,1990,no
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,1728.710498,1030496,2000,no
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,4168.489403,1099920,2010,no
Eswatini,SWZ,Mbabane,Africa,1.0079,0.02,3424.282212,1180655,2020,no
Seychelles,SYC,Victoria,Africa,1.0061,0,343.8811821,54379,1970,no
Seychelles,SYC,Victoria,Africa,1.0061,0,2329.353358,65290,1980,no
Seychelles,SYC,Victoria,Africa,1.0061,0,5302.843727,71057,1990,no
Seychelles,SYC,Victoria,Africa,1.0061,0,7578.851053,80060,2000,no
Seychelles,SYC,Victoria,Africa,1.0061,0,10804.68447,92409,2010,no
Seychelles,SYC,Victoria,Africa,1.0061,0,10764.42042,105530,2020,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,128.7917736,3667394,1970,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,228.8224844,4408230,1980,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,291.5533573,5827069,1990,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,166.1757089,8259137,2000,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,892.5688697,11894727,2010,no
Chad,TCD,N'Djamena,Africa,1.0316,0.22,659.270045,16644701,2020,no
Togo,TGO,Lom??,Africa,1.0236,0.11,120.0538809,2197383,1970,no
Togo,TGO,Lom??,Africa,1.0236,0.11,417.6691399,2838110,1980,no
Togo,TGO,Lom??,Africa,1.0236,0.11,431.4503884,3875947,1990,no
Togo,TGO,Lom??,Africa,1.0236,0.11,302.958592,5008035,2000,no
Togo,TGO,Lom??,Africa,1.0236,0.11,534.0447826,6571855,2010,no
Togo,TGO,Lom??,Africa,1.0236,0.11,914.9507925,8442580,2020,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,192.127686,35791728,1970,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,682.9299728,45737753,1980,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,1508.94247,55228410,1990,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,2007.735271,63066603,2000,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,5076.339872,68270489,2010,no
Thailand,THA,Bangkok,Asia,1.0013,0.9,7186.874092,71475664,2020,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,869.354117,988890,1970,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,5748.673495,1127852,1980,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,4150.284861,1266518,1990,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,6435.134212,1332203,2000,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,16683.39306,1410296,2010,no
Trinidad and Tobago,TTO,Port-of-Spain,North America,1.0035,0.02,15425.63511,1518147,2020,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,284.220679,5047404,1970,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,1371.835501,6578156,1980,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,1491.119777,8440023,1990,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,2211.835015,9893316,2000,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,4344.64192,10895063,2010,no
Tunisia,TUN,Tunis,Africa,1.0076,0.15,3521.591948,12161723,2020,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,489.9303677,35540990,1970,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,1564.247166,44089069,1980,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,2794.350494,54324142,1990,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,4337.478003,64113547,2000,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,10742.77498,73195345,2010,no
Turkey,TUR,Ankara,Asia,1.0067,1.07,8536.43332,84135428,2020,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,133.9715946,10317212,1970,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,100.0302757,13284026,1980,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,248.0293243,17586630,1990,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,261.8691416,24020697,2000,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,822.5393725,32341728,2010,no
Uganda,UGA,Kampala,Africa,1.0304,0.59,822.0276815,44404611,2020,no
Uruguay,URY,Montevideo,South America,0.999,0.04,760.5870648,2790265,1970,no
Uruguay,URY,Montevideo,South America,0.999,0.04,3485.991103,2953750,1980,no
Uruguay,URY,Montevideo,South America,0.999,0.04,2990.367133,3117012,1990,no
Uruguay,URY,Montevideo,South America,0.999,0.04,6875.025469,3292224,2000,no
Uruguay,URY,Montevideo,South America,0.999,0.04,11992.02377,3352651,2010,no
Uruguay,URY,Montevideo,South America,0.999,0.04,15438.41167,3429086,2020,no
United States,USA,"Washington, D.C.",North America,1.0038,4.24,5234.296666,200328340,1970,yes
United States,USA,"Washington, D.C.",North America,1.0038,4.24,12574.79151,223140018,1980,yes
United States,USA,"Washington, D.C.",North America,1.0038,4.24,23888.60001,248083732,1990,yes
United States,USA,"Washington, D.C.",North America,1.0038,4.24,36334.90878,282398554,2000,yes
United States,USA,"Washington, D.C.",North America,1.0038,4.24,48466.6576,311182845,2010,yes
United States,USA,"Washington, D.C.",North America,1.0038,4.24,63593.44362,335942003,2020,yes
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,203.8651507,98459,1970,no
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,818.7691628,107480,1980,no
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,2236.197812,112487,1990,no
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,3676.352092,113813,2000,no
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,6292.498854,109308,2010,no
St. Vincent and the Grenadines,VCT,Kingstown,North America,0.9963,0,7278.016297,104632,2020,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,834.5525029,22368306,1970,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,2905.807641,29463549,1980,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,3139.966225,39877570,1990,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,3374.718423,46813266,2000,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,8148.961202,51784921,2010,no
South Africa,ZAF,Pretoria,Africa,1.0084,0.75,5655.867654,58801927,2020,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,436.7692354,4281671,1970,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,654.4120135,5720438,1980,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,408.7693313,7686401,1990,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,345.6896207,9891136,2000,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,1489.459087,13792086,2010,no
Zambia,ZMB,Lusaka,Africa,1.028,0.25,985.132436,18927715,2020,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,356.2289954,5202918,1970,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,901.4984147,7049926,1980,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,841.9739583,10113893,1990,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,563.0575041,11834676,2000,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,948.331481,12839771,2010,no
Zimbabwe,ZWE,Harare,Africa,1.0204,0.2,1214.50982,15669666,2020,no
